MORPHEMES,MORPHS,ZEROFILLED,RAW
ARVELU PL INE,arvelu.i.ssa,arvelu.i.ssa,a r v e l u {ij} s s {aä}
ARVELU PL GENiden,arvelu.i.den,arvelu.i.dØen,a r v e l u {ij} {dt} {Øt} e n
ARVELU PL GENiden,arvelu.i.tten,arvelu.i.tten,a r v e l u {ij} {dt} {Øt} e n
ARVELU PL GENien,arvelu.j.en,arvelu.j.en,a r v e l u {ij} e n
ARVELU GENin,arvelu.in,arvelu.in,a r v e l u i n
ARVELU PL PTV,arvelu.j.a,arvelu.j.Øa,a r v e l u {ij} {Øt} {aä}
ARVELU PL PTV,arvelu.i.ta,arvelu.i.ta,a r v e l u {ij} {Øt} {aä}
ARVELU PL ILL,arvelu.i.hin,arvelu.i.hin,a r v e l u {ij} {Øh} {V} n
ILMETTY,ilmetty,ilmetty,i l m e t {tØtttØ} y 
ILMETTY GEN,ilmety.n,ilmetØy.n,i l m e t {tØtttØ} y n
ILMETTY PTV,ilmetty.ä,ilmetty.Øä,i l m e t {tØtttØ} y {Øt} {aä}
ILMETTY ESS,ilmetty.nä,ilmetty.nä,i l m e t {tØtttØ} y {nrs} {aä}
ILMETTY ILL,ilmetty.yn,ilmetty.Øyn,i l m e t {tØtttØ} y {Øh} {V} n
ILMETTY ILL,ilmetty.hyn,ilmetty.hyn,i l m e t {tØtttØ} y {Øh} {V} n
ILMETTY PL INE,ilmety.i.ssä,ilmetØy.i.ssä,i l m e t {tØtttØ} y {ij} s s {aä}
ILMETTY PL GENiden,ilmety.i.den,ilmetØy.i.dØen,i l m e t {tØtttØ} y {ij} {dt} {Øt} e n
ILMETTY PL GENiden,ilmety.i.tten,ilmetØy.i.tten,i l m e t {tØtttØ} y {ij} {dt} {Øt} e n
ILMETTY PL GENien,ilmetty.j.en,ilmetty.j.en,i l m e t {tØtttØ} y {ij} e n
ILMETTY GENin,ilmetty.in,ilmetty.in,i l m e t {tØtttØ} y i n
ILMETTY PL PTV,ilmetty.j.ä,ilmetty.j.Øä,i l m e t {tØtttØ} y {ij} {Øt} {aä}
ILMETTY PL PTV,ilmety.i.tä,ilmetØy.i.tä,i l m e t {tØtttØ} y {ij} {Øt} {aä}
ILMETTY PL ILL,ilmetty.i.hin,ilmetty.i.hin,i l m e t {tØtttØ} y {ij} {Øh} {V} n
SISÄKKÖ,sisäkkö,sisäkkö,s i s ä k {kØkkkØ} ö 
SISÄKKÖ GEN,sisäkö.n,sisäkØö.n,s i s ä k {kØkkkØ} ö n
SISÄKKÖ PTV,sisäkkö.ä,sisäkkö.Øä,s i s ä k {kØkkkØ} ö {Øt} {aä}
SISÄKKÖ ESS,sisäkkö.nä,sisäkkö.nä,s i s ä k {kØkkkØ} ö {nrs} {aä}
SISÄKKÖ ILL,sisäkkö.ön,sisäkkö.Øön,s i s ä k {kØkkkØ} ö {Øh} {V} n
SISÄKKÖ ILL,sisäkkö.hön,sisäkkö.hön,s i s ä k {kØkkkØ} ö {Øh} {V} n
SISÄKKÖ PL INE,sisäkö.i.ssä,sisäkØö.i.ssä,s i s ä k {kØkkkØ} ö {ij} s s {aä}
SISÄKKÖ PL GENiden,sisäkö.i.den,sisäkØö.i.dØen,s i s ä k {kØkkkØ} ö {ij} {dt} {Øt} e n
