MORPHEMES,MORPHS,ZEROFILLED,RAW
LAPSI ILL,lapse.hen,lapse.hen,l a {ppØpØØp} s {ieØeØØØ} {Øh} {V} n
LAPSI PL INE,laps.i.ssa,lapsØ.i.ssa,l a {ppØpØØp} s {ieØeØØØ} {ij} s s {aä}
LAPSI PL GENien,laps.i.en,lapsØ.i.en,l a {ppØpØØp} s {ieØeØØØ} {ij} e n
LAPSI PLGENten,las.ten,laØsØ.ten,l a {ppØpØØp} s {ieØeØØØ} t e n
LAPSI PL PTV,laps.i.a,lapsØ.i.Øa,l a {ppØpØØp} s {ieØeØØØ} {ij} {Øt} {aä}
LAPSI PL ILL,laps.i.in,lapsØ.i.Øin,l a {ppØpØØp} s {ieØeØØØ} {ij} {Øh} {V} n
LAPSI PL ILL,laps.i.hin,lapsØ.i.hin,l a {ppØpØØp} s {ieØeØØØ} {ij} {Øh} {V} n
HAPSI,hapsi,hapsi,h a {pppØpØØp} s {ieeØeØØØ} 
HAPSI GEN,hapse.n,hapse.n,h a {pppØpØØp} s {ieeØeØØØ} n
HAPSI PTV,hapse.a,hapse.Øa,h a {pppØpØØp} s {ieeØeØØØ} {Øt} {aä}
HAPSI PTV,has.ta,haØsØ.ta,h a {pppØpØØp} s {ieeØeØØØ} {Øt} {aä}
HAPSI ESS,hapse.na,hapse.na,h a {pppØpØØp} s {ieeØeØØØ} {nrs} {aä}
HAPSI ESS,has.na,haØsØ.na,h a {pppØpØØp} s {ieeØeØØØ} {nrs} {aä}
HAPSI ESS,has.sa,haØsØ.sa,h a {pppØpØØp} s {ieeØeØØØ} {nrs} {aä}
HAPSI ILL,hapse.en,hapse.Øen,h a {pppØpØØp} s {ieeØeØØØ} {Øh} {V} n
HAPSI ILL,hapse.hen,hapse.hen,h a {pppØpØØp} s {ieeØeØØØ} {Øh} {V} n
HAPSI PL INE,haps.i.ssa,hapsØ.i.ssa,h a {pppØpØØp} s {ieeØeØØØ} {ij} s s {aä}
HAPSI PL GENien,haps.i.en,hapsØ.i.en,h a {pppØpØØp} s {ieeØeØØØ} {ij} e n
HAPSI PLGENten,has.ten,haØsØ.ten,h a {pppØpØØp} s {ieeØeØØØ} t e n
HAPSI PL PTV,haps.i.a,hapsØ.i.Øa,h a {pppØpØØp} s {ieeØeØØØ} {ij} {Øt} {aä}
HAPSI PL ILL,haps.i.in,hapsØ.i.Øin,h a {pppØpØØp} s {ieeØeØØØ} {ij} {Øh} {V} n
HAPSI PL ILL,haps.i.hin,hapsØ.i.hin,h a {pppØpØØp} s {ieeØeØØØ} {ij} {Øh} {V} n
VEITSI,veitsi,veitsi,v e i {ttØtt} s {ieØeØ} 
VEITSI GEN,veitse.n,veitse.n,v e i {ttØtt} s {ieØeØ} n
VEITSI PTV,veis.tä,veiØsØ.tä,v e i {ttØtt} s {ieØeØ} {Øt} {aä}
VEITSI ESS,veitse.nä,veitse.nä,v e i {ttØtt} s {ieØeØ} {nrs} {aä}
VEITSI ILL,veitse.en,veitse.Øen,v e i {ttØtt} s {ieØeØ} {Øh} {V} n
VEITSI ILL,veitse.hen,veitse.hen,v e i {ttØtt} s {ieØeØ} {Øh} {V} n
VEITSI PL INE,veits.i.ssä,veitsØ.i.ssä,v e i {ttØtt} s {ieØeØ} {ij} s s {aä}
VEITSI PL GENien,veits.i.en,veitsØ.i.en,v e i {ttØtt} s {ieØeØ} {ij} e n
VEITSI PLGENten,veis.ten,veiØsØ.ten,v e i {ttØtt} s {ieØeØ} t e n
VEITSI PL PTV,veits.i.ä,veitsØ.i.Øä,v e i {ttØtt} s {ieØeØ} {ij} {Øt} {aä}
VEITSI PL ILL,veits.i.in,veitsØ.i.Øin,v e i {ttØtt} s {ieØeØ} {ij} {Øh} {V} n
VEITSI PL ILL,veits.i.hin,veitsØ.i.hin,v e i {ttØtt} s {ieØeØ} {ij} {Øh} {V} n
PEITSI,peitsi,peitsi,p e i {ttØttt} s {ieØeeØ} 
PEITSI GEN,peitse.n,peitse.n,p e i {ttØttt} s {ieØeeØ} n
PEITSI PTV,peis.tä,peiØsØ.tä,p e i {ttØttt} s {ieØeeØ} {Øt} {aä}
PEITSI PTV,peitse.ä,peitse.Øä,p e i {ttØttt} s {ieØeeØ} {Øt} {aä}
PEITSI ESS,peitse.nä,peitse.nä,p e i {ttØttt} s {ieØeeØ} {nrs} {aä}
PEITSI ILL,peitse.en,peitse.Øen,p e i {ttØttt} s {ieØeeØ} {Øh} {V} n
PEITSI ILL,peitse.hen,peitse.hen,p e i {ttØttt} s {ieØeeØ} {Øh} {V} n
PEITSI PL INE,peits.i.ssä,peitsØ.i.ssä,p e i {ttØttt} s {ieØeeØ} {ij} s s {aä}
PEITSI PL GENien,peits.i.en,peitsØ.i.en,p e i {ttØttt} s {ieØeeØ} {ij} e n
PEITSI PLGENten,peis.ten,peiØsØ.ten,p e i {ttØttt} s {ieØeeØ} t e n
PEITSI PL PTV,peits.i.ä,peitsØ.i.Øä,p e i {ttØttt} s {ieØeeØ} {ij} {Øt} {aä}
PEITSI PL ILL,peits.i.in,peitsØ.i.Øin,p e i {ttØttt} s {ieØeeØ} {ij} {Øh} {V} n
PEITSI PL ILL,peits.i.hin,peitsØ.i.hin,p e i {ttØttt} s {ieØeeØ} {ij} {Øh} {V} n
SUKSI,suksi,suksi,s u {kkkØkk} s {ieeØeØ} 
SUKSI GEN,sukse.n,sukse.n,s u {kkkØkk} s {ieeØeØ} n
SUKSI PTV,sukse.a,sukse.Øa,s u {kkkØkk} s {ieeØeØ} {Øt} {aä}
SUKSI PTV,sus.ta,suØsØ.ta,s u {kkkØkk} s {ieeØeØ} {Øt} {aä}
SUKSI ESS,sukse.na,sukse.na,s u {kkkØkk} s {ieeØeØ} {nrs} {aä}
SUKSI ILL,sukse.en,sukse.Øen,s u {kkkØkk} s {ieeØeØ} {Øh} {V} n
SUKSI ILL,sukse.hen,sukse.hen,s u {kkkØkk} s {ieeØeØ} {Øh} {V} n
SUKSI PL INE,suks.i.ssa,suksØ.i.ssa,s u {kkkØkk} s {ieeØeØ} {ij} s s {aä}
SUKSI PL GENien,suks.i.en,suksØ.i.en,s u {kkkØkk} s {ieeØeØ} {ij} e n
SUKSI PLGENten,sus.ten,suØsØ.ten,s u {kkkØkk} s {ieeØeØ} t e n
SUKSI GENin,sukse.in,sukse.in,s u {kkkØkk} s {ieeØeØ} i n
SUKSI PL PTV,suks.i.a,suksØ.i.Øa,s u {kkkØkk} s {ieeØeØ} {ij} {Øt} {aä}
SUKSI PL ILL,suks.i.in,suksØ.i.Øin,s u {kkkØkk} s {ieeØeØ} {ij} {Øh} {V} n
SUKSI PL ILL,suks.i.hin,suksØ.i.hin,s u {kkkØkk} s {ieeØeØ} {ij} {Øh} {V} n
UKSI,uksi,uksi,u {kkØkkk} s {ieØeeØ} 
UKSI GEN,ukse.n,ukse.n,u {kkØkkk} s {ieØeeØ} n
UKSI PTV,us.ta,uØsØ.ta,u {kkØkkk} s {ieØeeØ} {Øt} {aä}
UKSI PTV,ukse.a,ukse.Øa,u {kkØkkk} s {ieØeeØ} {Øt} {aä}
UKSI ESS,ukse.na,ukse.na,u {kkØkkk} s {ieØeeØ} {nrs} {aä}
UKSI ILL,ukse.en,ukse.Øen,u {kkØkkk} s {ieØeeØ} {Øh} {V} n
UKSI ILL,ukse.hen,ukse.hen,u {kkØkkk} s {ieØeeØ} {Øh} {V} n
UKSI PL INE,uks.i.ssa,uksØ.i.ssa,u {kkØkkk} s {ieØeeØ} {ij} s s {aä}
UKSI PL GENien,uks.i.en,uksØ.i.en,u {kkØkkk} s {ieØeeØ} {ij} e n
UKSI PLGENten,us.ten,uØsØ.ten,u {kkØkkk} s {ieØeeØ} t e n
UKSI PL PTV,uks.i.a,uksØ.i.Øa,u {kkØkkk} s {ieØeeØ} {ij} {Øt} {aä}
UKSI PL ILL,uks.i.in,uksØ.i.Øin,u {kkØkkk} s {ieØeeØ} {ij} {Øh} {V} n
UKSI PL ILL,uks.i.hin,uksØ.i.hin,u {kkØkkk} s {ieØeeØ} {ij} {Øh} {V} n
KAKSI,kaksi,kaksi,k a {khhhk} {sdØts} {ieØeØ} 
KAKSI GEN,kahde.n,kahde.n,k a {khhhk} {sdØts} {ieØeØ} n
KAKSI PTV,kah.ta,kahØØ.ta,k a {khhhk} {sdØts} {ieØeØ} {Øt} {aä}
KAKSI ESS,kahte.na,kahte.na,k a {khhhk} {sdØts} {ieØeØ} {nrs} {aä}
KAKSI ILL,kahte.en,kahte.Øen,k a {khhhk} {sdØts} {ieØeØ} {Øh} {V} n
KAKSI ILL,kahte.hen,kahte.hen,k a {khhhk} {sdØts} {ieØeØ} {Øh} {V} n
KAKSI PL INE,kaks.i.ssa,kaksØ.i.ssa,k a {khhhk} {sdØts} {ieØeØ} {ij} s s {aä}
KAKSI PL GENien,kaks.i.en,kaksØ.i.en,k a {khhhk} {sdØts} {ieØeØ} {ij} e n
KAKSI PL PTV,kaks.i.a,kaksØ.i.Øa,k a {khhhk} {sdØts} {ieØeØ} {ij} {Øt} {aä}
KAKSI PL ILL,kaks.i.in,kaksØ.i.Øin,k a {khhhk} {sdØts} {ieØeØ} {ij} {Øh} {V} n
KAKSI PL ILL,kaks.i.hin,kaksØ.i.hin,k a {khhhk} {sdØts} {ieØeØ} {ij} {Øh} {V} n
SANKARI,sankari,sankari,s a n k a r {iiiiee} 
SANKARI GEN,sankari.n,sankari.n,s a n k a r {iiiiee} n
SANKARI PTV,sankari.a,sankari.Øa,s a n k a r {iiiiee} {Øt} {aä}
SANKARI ESS,sankari.na,sankari.na,s a n k a r {iiiiee} {nrs} {aä}
SANKARI ILL,sankari.in,sankari.Øin,s a n k a r {iiiiee} {Øh} {V} n
SANKARI ILL,sankari.hin,sankari.hin,s a n k a r {iiiiee} {Øh} {V} n
SANKARI PL INE,sankare.i.ssa,sankare.i.ssa,s a n k a r {iiiiee} {ij} s s {aä}
SANKARI PL GENiden,sankare.i.den,sankare.i.dØen,s a n k a r {iiiiee} {ij} {dt} {Øt} e n
SANKARI PL GENiden,sankare.i.tten,sankare.i.tten,s a n k a r {iiiiee} {ij} {dt} {Øt} e n
SANKARI PL GENien,sankar.i.en,sankarØ.i.en,s a n k a r {iiiiee} {ij} e n
SANKARI GENin,sankare.in,sankare.in,s a n k a r {iiiiee} i n
SANKARI PL PTV,sankare.i.ta,sankare.i.ta,s a n k a r {iiiiee} {ij} {Øt} {aä}
SANKARI PL PTV,sankare.j.a,sankare.j.Øa,s a n k a r {iiiiee} {ij} {Øt} {aä}
SANKARI PL ILL,sankare.i.hin,sankare.i.hin,s a n k a r {iiiiee} {ij} {Øh} {V} n
JUMALA,jumala,jumala,j u m a l {aaaaaØ} 
JUMALA GEN,jumala.n,jumala.n,j u m a l {aaaaaØ} n
JUMALA PTV,jumala.a,jumala.Øa,j u m a l {aaaaaØ} {Øt} {aä}
JUMALA PTV,jumala.ta,jumala.ta,j u m a l {aaaaaØ} {Øt} {aä}
JUMALA ESS,jumala.na,jumala.na,j u m a l {aaaaaØ} {nrs} {aä}
JUMALA ILL,jumala.an,jumala.Øan,j u m a l {aaaaaØ} {Øh} {V} n
JUMALA ILL,jumala.han,jumala.han,j u m a l {aaaaaØ} {Øh} {V} n
JUMALA PL INE,jumal.i.ssa,jumalØ.i.ssa,j u m a l {aaaaaØ} {ij} s s {aä}
JUMALA PL GENien,jumal.i.en,jumalØ.i.en,j u m a l {aaaaaØ} {ij} e n
JUMALA PLGENten,jumal.ten,jumalØ.ten,j u m a l {aaaaaØ} t e n
JUMALA GENin,jumala.in,jumala.in,j u m a l {aaaaaØ} i n
JUMALA PL PTV,jumal.i.a,jumalØ.i.Øa,j u m a l {aaaaaØ} {ij} {Øt} {aä}
JUMALA PL ILL,jumal.i.in,jumalØ.i.Øin,j u m a l {aaaaaØ} {ij} {Øh} {V} n
JUMALA PL ILL,jumal.i.hin,jumalØ.i.hin,j u m a l {aaaaaØ} {ij} {Øh} {V} n
SISAR,sisar,sisarØ,s i s a r {ØeØeØ} 
SISAR GEN,sisare.n,sisare.n,s i s a r {ØeØeØ} n
SISAR PTV,sisar.ta,sisarØ.ta,s i s a r {ØeØeØ} {Øt} {aä}
SISAR ESS,sisare.na,sisare.na,s i s a r {ØeØeØ} {nrs} {aä}
SISAR ILL,sisare.en,sisare.Øen,s i s a r {ØeØeØ} {Øh} {V} n
SISAR ILL,sisare.hen,sisare.hen,s i s a r {ØeØeØ} {Øh} {V} n
SISAR PL INE,sisar.i.ssa,sisarØ.i.ssa,s i s a r {ØeØeØ} {ij} s s {aä}
SISAR PL GENien,sisar.i.en,sisarØ.i.en,s i s a r {ØeØeØ} {ij} e n
SISAR PLGENten,sisar.ten,sisarØ.ten,s i s a r {ØeØeØ} t e n
SISAR PL PTV,sisar.i.a,sisarØ.i.Øa,s i s a r {ØeØeØ} {ij} {Øt} {aä}
SISAR PL ILL,sisar.i.in,sisarØ.i.Øin,s i s a r {ØeØeØ} {ij} {Øh} {V} n
SISAR PL ILL,sisar.i.hin,sisarØ.i.hin,s i s a r {ØeØeØ} {ij} {Øh} {V} n
AHVEN,ahven,ahvenØ,a h v e n {ØeØeØØ} 
AHVEN GEN,ahvene.n,ahvene.n,a h v e n {ØeØeØØ} n
AHVEN PTV,ahven.ta,ahvenØ.ta,a h v e n {ØeØeØØ} {Øt} {aä}
AHVEN ESS,ahvene.na,ahvene.na,a h v e n {ØeØeØØ} {nrs} {aä}
AHVEN ESS,ahven.na,ahvenØ.na,a h v e n {ØeØeØØ} {nrs} {aä}
AHVEN ILL,ahvene.en,ahvene.Øen,a h v e n {ØeØeØØ} {Øh} {V} n
AHVEN ILL,ahvene.hen,ahvene.hen,a h v e n {ØeØeØØ} {Øh} {V} n
AHVEN PL INE,ahven.i.ssa,ahvenØ.i.ssa,a h v e n {ØeØeØØ} {ij} s s {aä}
AHVEN PL GENien,ahven.i.en,ahvenØ.i.en,a h v e n {ØeØeØØ} {ij} e n
AHVEN PLGENten,ahven.ten,ahvenØ.ten,a h v e n {ØeØeØØ} t e n
AHVEN PL PTV,ahven.i.a,ahvenØ.i.Øa,a h v e n {ØeØeØØ} {ij} {Øt} {aä}
AHVEN PL ILL,ahven.i.in,ahvenØ.i.Øin,a h v e n {ØeØeØØ} {ij} {Øh} {V} n
AHVEN PL ILL,ahven.i.hin,ahvenØ.i.hin,a h v e n {ØeØeØØ} {ij} {Øh} {V} n
UISTIN,uistin,uistinØ,u i s t i {nmnmm} {ØeØeØ} 
UISTIN GEN,uistime.n,uistime.n,u i s t i {nmnmm} {ØeØeØ} n
UISTIN PTV,uistin.ta,uistinØ.ta,u i s t i {nmnmm} {ØeØeØ} {Øt} {aä}
UISTIN ESS,uistime.na,uistime.na,u i s t i {nmnmm} {ØeØeØ} {nrs} {aä}
UISTIN ILL,uistime.en,uistime.Øen,u i s t i {nmnmm} {ØeØeØ} {Øh} {V} n
UISTIN ILL,uistime.hen,uistime.hen,u i s t i {nmnmm} {ØeØeØ} {Øh} {V} n
UISTIN PL INE,uistim.i.ssa,uistimØ.i.ssa,u i s t i {nmnmm} {ØeØeØ} {ij} s s {aä}
UISTIN PL GENien,uistim.i.en,uistimØ.i.en,u i s t i {nmnmm} {ØeØeØ} {ij} e n
UISTIN PLGENten,uistin.ten,uistinØ.ten,u i s t i {nmnmm} {ØeØeØ} t e n
UISTIN PL PTV,uistim.i.a,uistimØ.i.Øa,u i s t i {nmnmm} {ØeØeØ} {ij} {Øt} {aä}
UISTIN PL ILL,uistim.i.in,uistimØ.i.Øin,u i s t i {nmnmm} {ØeØeØ} {ij} {Øh} {V} n
UISTIN PL ILL,uistim.i.hin,uistimØ.i.hin,u i s t i {nmnmm} {ØeØeØ} {ij} {Øh} {V} n
ONNETON,onnetØoØnØ,onnetØoØnØ,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} 
ONNETON,onnetoin,onnetØoinØ,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} 
ONNETON GEN,onnettoØma.n,onnettoØma.n,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} n
ONNETON PTV,onnetØoØnØ.ta,onnetØoØnØ.ta,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} {Øt} {aä}
ONNETON PTV,onnetoin.ta,onnetØoinØ.ta,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} {Øt} {aä}
ONNETON ESS,onnettoma.na,onnettoØma.na,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} {nrs} {aä}
ONNETON ESS,onneton.na,onnetØoØnØ.na,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} {nrs} {aä}
ONNETON ESS,onnetoin.na,onnetØoinØ.na,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} {nrs} {aä}
ONNETON ILL,onnettoma.an,onnettoØma.Øan,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} {Øh} {V} n
ONNETON ILL,onnettoma.han,onnettoØma.han,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} {Øh} {V} n
ONNETON PL INE,onnettom.i.ssa,onnettoØmØ.i.ssa,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} {ij} s s {aä}
ONNETON PL GENien,onnettom.i.en,onnettoØmØ.i.en,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} {ij} e n
ONNETON PLGENten,onneton.ten,onnetØoØnØ.ten,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} t e n
ONNETON PLGENten,onnetoin.ten,onnetØoinØ.ten,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} t e n
ONNETON GENin,onnettoma.in,onnettoØma.in,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} i n
ONNETON PL PTV,onnettom.i.a,onnettoØmØ.i.Øa,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} {ij} {Øt} {aä}
ONNETON PL ILL,onnettom.i.in,onnettoØmØ.i.Øin,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} {ij} {Øh} {V} n
ONNETON PL ILL,onnettom.i.hin,onnettoØmØ.i.hin,o n n e t {ØØtØØtØØt} o {ØiØØiØØiØ} {nnmnnmnnm} {ØØaØØaØØØ} {ij} {Øh} {V} n
HEVONEN,hevonen,hevonen,h e v o {nssssss} {eeØeØØØ} {nØØØØØØ} 
HEVONEN GEN,hevose.n,hevoseØ.n,h e v o {nssssss} {eeØeØØØ} {nØØØØØØ} n
HEVONEN PTV,hevos.ta,hevosØØ.ta,h e v o {nssssss} {eeØeØØØ} {nØØØØØØ} {Øt} {aä}
HEVONEN ESS,hevose.na,hevoseØ.na,h e v o {nssssss} {eeØeØØØ} {nØØØØØØ} {nrs} {aä}
HEVONEN ESS,hevos.na,hevosØØ.na,h e v o {nssssss} {eeØeØØØ} {nØØØØØØ} {nrs} {aä}
HEVONEN ESS,hevos.sa,hevosØØ.sa,h e v o {nssssss} {eeØeØØØ} {nØØØØØØ} {nrs} {aä}
HEVONEN ILL,hevose.en,hevoseØ.Øen,h e v o {nssssss} {eeØeØØØ} {nØØØØØØ} {Øh} {V} n
HEVONEN ILL,hevose.hen,hevoseØ.hen,h e v o {nssssss} {eeØeØØØ} {nØØØØØØ} {Øh} {V} n
HEVONEN PL INE,hevos.i.ssa,hevosØØ.i.ssa,h e v o {nssssss} {eeØeØØØ} {nØØØØØØ} {ij} s s {aä}
HEVONEN PL GENien,hevos.i.en,hevosØØ.i.en,h e v o {nssssss} {eeØeØØØ} {nØØØØØØ} {ij} e n
HEVONEN PLGENten,hevos.ten,hevosØØ.ten,h e v o {nssssss} {eeØeØØØ} {nØØØØØØ} t e n
HEVONEN PL PTV,hevos.i.a,hevosØØ.i.Øa,h e v o {nssssss} {eeØeØØØ} {nØØØØØØ} {ij} {Øt} {aä}
HEVONEN PL ILL,hevos.i.in,hevosØØ.i.Øin,h e v o {nssssss} {eeØeØØØ} {nØØØØØØ} {ij} {Øh} {V} n
HEVONEN PL ILL,hevos.i.hin,hevosØØ.i.hin,h e v o {nssssss} {eeØeØØØ} {nØØØØØØ} {ij} {Øh} {V} n
VASTAUS,vastaus,vastauØsØ,v a s t a u {ØkØkk} s {ØeØeØ} 
VASTAUS GEN,vastaukse.n,vastaukse.n,v a s t a u {ØkØkk} s {ØeØeØ} n
VASTAUS PTV,vastaus.ta,vastauØsØ.ta,v a s t a u {ØkØkk} s {ØeØeØ} {Øt} {aä}
VASTAUS ESS,vastaukse.na,vastaukse.na,v a s t a u {ØkØkk} s {ØeØeØ} {nrs} {aä}
VASTAUS ILL,vastaukse.en,vastaukse.Øen,v a s t a u {ØkØkk} s {ØeØeØ} {Øh} {V} n
VASTAUS ILL,vastaukse.hen,vastaukse.hen,v a s t a u {ØkØkk} s {ØeØeØ} {Øh} {V} n
VASTAUS PL INE,vastauks.i.ssa,vastauksØ.i.ssa,v a s t a u {ØkØkk} s {ØeØeØ} {ij} s s {aä}
VASTAUS PL GENien,vastauks.i.en,vastauksØ.i.en,v a s t a u {ØkØkk} s {ØeØeØ} {ij} e n
VASTAUS PLGENten,vastaus.ten,vastauØsØ.ten,v a s t a u {ØkØkk} s {ØeØeØ} t e n
VASTAUS PL PTV,vastauks.i.a,vastauksØ.i.Øa,v a s t a u {ØkØkk} s {ØeØeØ} {ij} {Øt} {aä}
VASTAUS PL ILL,vastauks.i.in,vastauksØ.i.Øin,v a s t a u {ØkØkk} s {ØeØeØ} {ij} {Øh} {V} n
VASTAUS PL ILL,vastauks.i.hin,vastauksØ.i.hin,v a s t a u {ØkØkk} s {ØeØeØ} {ij} {Øh} {V} n
KALLEUS,kalleuØsØ,kalleuØsØ,k a l l e u {ØØØØk} {sdtts} {ØeØeØ} 
KALLEUS GEN,kalleuØde.n,kalleuØde.n,k a l l e u {ØØØØk} {sdtts} {ØeØeØ} n
KALLEUS PTV,kalleuØtØ.ta,kalleuØtØ.ta,k a l l e u {ØØØØk} {sdtts} {ØeØeØ} {Øt} {aä}
KALLEUS ESS,kalleute.na,kalleuØte.na,k a l l e u {ØØØØk} {sdtts} {ØeØeØ} {nrs} {aä}
KALLEUS ILL,kalleute.en,kalleuØte.Øen,k a l l e u {ØØØØk} {sdtts} {ØeØeØ} {Øh} {V} n
KALLEUS ILL,kalleute.hen,kalleuØte.hen,k a l l e u {ØØØØk} {sdtts} {ØeØeØ} {Øh} {V} n
KALLEUS PL INE,kalleuks.i.ssa,kalleuksØ.i.ssa,k a l l e u {ØØØØk} {sdtts} {ØeØeØ} {ij} s s {aä}
KALLEUS PL GENien,kalleuks.i.en,kalleuksØ.i.en,k a l l e u {ØØØØk} {sdtts} {ØeØeØ} {ij} e n
KALLEUS PLGENten,kalleut.ten,kalleuØtØ.ten,k a l l e u {ØØØØk} {sdtts} {ØeØeØ} t e n
KALLEUS PL PTV,kalleuks.i.a,kalleuksØ.i.Øa,k a l l e u {ØØØØk} {sdtts} {ØeØeØ} {ij} {Øt} {aä}
KALLEUS PL ILL,kalleuks.i.in,kalleuksØ.i.Øin,k a l l e u {ØØØØk} {sdtts} {ØeØeØ} {ij} {Øh} {V} n
KALLEUS PL ILL,kalleuks.i.hin,kalleuksØ.i.hin,k a l l e u {ØØØØk} {sdtts} {ØeØeØ} {ij} {Øh} {V} n
VIERAS,vieras,vierasØ,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} 
VIERAS GEN,vieraa.n,vieraØa.n,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} n
VIERAS GEN,vieraha.n,vieraha.n,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} n
VIERAS PTV,vieras.ta,vierasØ.ta,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} {Øt} {aä}
VIERAS ESS,vieraa.na,vieraØa.na,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} {nrs} {aä}
VIERAS ESS,vieras.na,vierasØ.na,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} {nrs} {aä}
VIERAS ESS,vieras.sa,vierasØ.sa,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} {nrs} {aä}
VIERAS ESS,vieraha.na,vieraha.na,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} {nrs} {aä}
VIERAS ILLseen,vieraa.seen,vieraØa.seen,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} s e {Øe} n
VIERAS ILLseen,vieraha.sen,vieraha.seØn,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} s e {Øe} n
VIERAS PL INE,viera.i.ssa,vieraØØ.i.ssa,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} s s {aä}
VIERAS PL INE,vierah.i.ssa,vierahØ.i.ssa,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} s s {aä}
VIERAS PL GENiden,viera.i.den,vieraØØ.i.dØen,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} {dt} {Øt} e n
VIERAS PL GENiden,viera.i.tten,vieraØØ.i.tten,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} {dt} {Øt} e n
VIERAS PLGENten,vieras.ten,vierasØ.ten,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} t e n
VIERAS PL PTV,viera.i.ta,vieraØØ.i.ta,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} {Øt} {aä}
VIERAS PL PTV,vierah.i.a,vierahØ.i.Øa,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} {Øt} {aä}
VIERAS PL ILL,viera.i.hin,vieraØØ.i.hin,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} {Øh} {V} n
VIERAS PL ILLsiin,viera.i.siin,vieraØØ.i.siin,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} s i {iØ} n
VIERAS PL ILLsiin,vierah.i.sin,vierahØ.i.siØn,v i e r a {sØhsØsshØh} {ØaaØaØØaØØ} {ij} s i {iØ} n
SAAPAS,saapas,saapØasØ,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} 
SAAPAS GEN,saappaa.n,saappaØa.n,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} n
SAAPAS GEN,saappaha.n,saappaha.n,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} n
SAAPAS PTV,saapas.ta,saapØasØ.ta,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} {Øt} {aä}
SAAPAS ESS,saappaa.na,saappaØa.na,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} {nrs} {aä}
SAAPAS ESS,saapas.na,saapØasØ.na,s a a p {ØppØpØØppp} a {sØhsØsshØh} {ØaaØaØØaØØ} {nrs} {aä}
